et-4/0/13:1,1949447328
et-4/0/13:2,1939584345
et-4/0/13:3,1939594258
em0,948063
em1,57556
ixlv0,29815794
ixlv1,615738
lo0,5723563
et-0/0/0:1,3813541175
et-0/0/1:0,354774803
et-0/0/1:1,355802303
et-0/0/1:2,355235549
et-0/0/1:3,353826170
et-0/0/2:0,356639906
et-0/0/2:1,356140510
et-0/0/2:2,355722008
et-0/0/2:3,357373694
et-0/0/3:0,354688853
et-0/0/3:1,354927217
et-0/0/3:2,355295577
et-0/0/3:3,355057619
et-0/0/4:0,355820624
et-0/0/4:1,355428435
et-0/0/4:2,356482197
et-0/0/4:3,355966756
et-0/0/9:0,15391976647
et-0/0/9:1,903833
et-0/0/9:3,917880
et-1/0/0:1,3815414380
et-1/0/1:0,355095841
et-1/0/1:1,355251491
et-1/0/1:2,355349931
et-1/0/1:3,360560007
et-1/0/2:0,354672255
et-1/0/2:1,355134778
et-1/0/2:2,355630011
et-1/0/2:3,355290551
et-1/0/3:0,355547931
et-1/0/3:1,354826972
et-1/0/3:2,354553690
et-1/0/3:3,356493099
et-1/0/4:0,354764979
et-1/0/4:1,353996975
et-1/0/4:2,356342046
et-1/0/4:3,356823816
et-1/0/9:3,154459288
et-1/0/12:2,1918806871
et-1/0/12:3,1918786862
et-1/0/13:1,1918650134
et-1/0/13:2,1918890317
et-1/0/13:3,1918951374
et-1/0/23:0,423093
