et-4/0/13:1,1949452745
et-4/0/13:2,1939589720
et-4/0/13:3,1939599621
et-0/0/0:1,3813557731
et-0/0/1:0,354776335
et-0/0/1:1,355803854
et-0/0/1:2,355237112
et-0/0/1:3,353827752
et-0/0/2:0,356641494
et-0/0/2:1,356142019
et-0/0/2:2,355723568
et-0/0/2:3,357375287
et-0/0/3:0,354690407
et-0/0/3:1,354928775
et-0/0/3:2,355297193
et-0/0/3:3,355059188
et-0/0/4:0,355822175
et-0/0/4:1,355429953
et-0/0/4:2,356483756
et-0/0/4:3,355968343
et-0/0/9:0,15392043562
et-0/0/9:1,903422
et-0/0/9:3,4431
et-1/0/0:1,3815147171
et-1/0/1:0,355095583
et-1/0/1:1,355251237
et-1/0/1:2,355349692
et-1/0/1:3,360217976
et-1/0/2:0,354671991
et-1/0/2:1,355134510
et-1/0/2:2,355629762
et-1/0/2:3,355290281
et-1/0/3:0,355547708
et-1/0/3:1,354826733
et-1/0/3:2,354553425
et-1/0/3:3,356492859
et-1/0/4:0,354764744
et-1/0/4:1,353996732
et-1/0/4:2,356341815
et-1/0/4:3,356823584
et-1/0/9:3,153548128
et-1/0/12:2,1918805147
et-1/0/12:3,1918785144
et-1/0/13:1,1918648400
et-1/0/13:2,1918888626
et-1/0/13:3,1918949668
et-1/0/23:0,86344
